emotion,count,percentage
anger,3779,52.55910987482615
contentment,1160,16.133518776077885
something else,969,13.477051460361613
amusement,590,8.205841446453407
sadness,419,5.827538247566063
disgust,120,1.6689847009735743
awe,91,1.265646731571627
fear,33,0.4589707927677329
excitement,29,0.40333796940194716
